powertrain,component_code,component_cn,component_en,hs6_candidates,impact_weight,required_fields,note
ICE_DIESEL,VN-CKD-TRANSMISSION-REDUCER,变速箱/减速器,Transmission or reducer,870840|870899,HIGH,part.transmission_or_reducer|part.integrated_motor|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
HEV,VN-CKD-TRANSMISSION-REDUCER,变速箱/减速器,Transmission or reducer,870840|870899,HIGH,part.transmission_or_reducer|part.integrated_motor|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
PHEV,VN-CKD-TRANSMISSION-REDUCER,变速箱/减速器,Transmission or reducer,870840|870899,HIGH,part.transmission_or_reducer|part.integrated_motor|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
EREV,VN-CKD-TRANSMISSION-REDUCER,变速箱/减速器,Transmission or reducer,870840|870899,HIGH,part.transmission_or_reducer|part.integrated_motor|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
BEV,VN-CKD-TRANSMISSION-REDUCER,变速箱/减速器,Transmission or reducer,870840|870899,HIGH,part.transmission_or_reducer|part.integrated_motor|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
FCEV,VN-CKD-TRANSMISSION-REDUCER,变速箱/减速器,Transmission or reducer,870840|870899,HIGH,part.transmission_or_reducer|part.integrated_motor|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
ICE_GASOLINE,VN-CKD-BODY,车身,Body or body parts,870710|870829,HIGH,part.body_shell_or_panel|vehicle.intended_heading|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
ICE_DIESEL,VN-CKD-BODY,车身,Body or body parts,870710|870829,HIGH,part.body_shell_or_panel|vehicle.intended_heading|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
HEV,VN-CKD-BODY,车身,Body or body parts,870710|870829,HIGH,part.body_shell_or_panel|vehicle.intended_heading|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
PHEV,VN-CKD-BODY,车身,Body or body parts,870710|870829,HIGH,part.body_shell_or_panel|vehicle.intended_heading|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
EREV,VN-CKD-BODY,车身,Body or body parts,870710|870829,HIGH,part.body_shell_or_panel|vehicle.intended_heading|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
BEV,VN-CKD-BODY,车身,Body or body parts,870710|870829,HIGH,part.body_shell_or_panel|vehicle.intended_heading|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
FCEV,VN-CKD-BODY,车身,Body or body parts,870710|870829,HIGH,part.body_shell_or_panel|vehicle.intended_heading|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
ICE_GASOLINE,VN-CKD-CHASSIS,底盘,Chassis or frame,870899,HIGH,part.frame_or_chassis_part|part.with_engine_or_motor|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
ICE_DIESEL,VN-CKD-CHASSIS,底盘,Chassis or frame,870899,HIGH,part.frame_or_chassis_part|part.with_engine_or_motor|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
HEV,VN-CKD-CHASSIS,底盘,Chassis or frame,870899,HIGH,part.frame_or_chassis_part|part.with_engine_or_motor|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
PHEV,VN-CKD-CHASSIS,底盘,Chassis or frame,870899,HIGH,part.frame_or_chassis_part|part.with_engine_or_motor|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
EREV,VN-CKD-CHASSIS,底盘,Chassis or frame,870899,HIGH,part.frame_or_chassis_part|part.with_engine_or_motor|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
BEV,VN-CKD-CHASSIS,底盘,Chassis or frame,870899,HIGH,part.frame_or_chassis_part|part.with_engine_or_motor|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
FCEV,VN-CKD-CHASSIS,底盘,Chassis or frame,870899,HIGH,part.frame_or_chassis_part|part.with_engine_or_motor|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
ICE_GASOLINE,VN-CKD-SUSPENSION-AXLE,悬架/车桥,Suspension or axle,870850|870880|732010,MEDIUM_HIGH,part.axle_suspension_or_spring|vehicle.intended_heading|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
ICE_DIESEL,VN-CKD-SUSPENSION-AXLE,悬架/车桥,Suspension or axle,870850|870880|732010,MEDIUM_HIGH,part.axle_suspension_or_spring|vehicle.intended_heading|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
HEV,VN-CKD-SUSPENSION-AXLE,悬架/车桥,Suspension or axle,870850|870880|732010,MEDIUM_HIGH,part.axle_suspension_or_spring|vehicle.intended_heading|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
PHEV,VN-CKD-SUSPENSION-AXLE,悬架/车桥,Suspension or axle,870850|870880|732010,MEDIUM_HIGH,part.axle_suspension_or_spring|vehicle.intended_heading|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
EREV,VN-CKD-SUSPENSION-AXLE,悬架/车桥,Suspension or axle,870850|870880|732010,MEDIUM_HIGH,part.axle_suspension_or_spring|vehicle.intended_heading|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
BEV,VN-CKD-SUSPENSION-AXLE,悬架/车桥,Suspension or axle,870850|870880|732010,MEDIUM_HIGH,part.axle_suspension_or_spring|vehicle.intended_heading|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
FCEV,VN-CKD-SUSPENSION-AXLE,悬架/车桥,Suspension or axle,870850|870880|732010,MEDIUM_HIGH,part.axle_suspension_or_spring|vehicle.intended_heading|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
ICE_GASOLINE,VN-CKD-STEERING,转向,Steering,870894,MEDIUM,part.steering_wheel_column_box_or_part|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
ICE_DIESEL,VN-CKD-STEERING,转向,Steering,870894,MEDIUM,part.steering_wheel_column_box_or_part|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
HEV,VN-CKD-STEERING,转向,Steering,870894,MEDIUM,part.steering_wheel_column_box_or_part|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
PHEV,VN-CKD-STEERING,转向,Steering,870894,MEDIUM,part.steering_wheel_column_box_or_part|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
EREV,VN-CKD-STEERING,转向,Steering,870894,MEDIUM,part.steering_wheel_column_box_or_part|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
BEV,VN-CKD-STEERING,转向,Steering,870894,MEDIUM,part.steering_wheel_column_box_or_part|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
FCEV,VN-CKD-STEERING,转向,Steering,870894,MEDIUM,part.steering_wheel_column_box_or_part|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
ICE_GASOLINE,VN-CKD-BRAKING,制动,Braking,870830|681381,MEDIUM,part.brake_system_or_friction_material|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
ICE_DIESEL,VN-CKD-BRAKING,制动,Braking,870830|681381,MEDIUM,part.brake_system_or_friction_material|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
HEV,VN-CKD-BRAKING,制动,Braking,870830|681381,MEDIUM,part.brake_system_or_friction_material|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
PHEV,VN-CKD-BRAKING,制动,Braking,870830|681381,MEDIUM,part.brake_system_or_friction_material|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
EREV,VN-CKD-BRAKING,制动,Braking,870830|681381,MEDIUM,part.brake_system_or_friction_material|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
BEV,VN-CKD-BRAKING,制动,Braking,870830|681381,MEDIUM,part.brake_system_or_friction_material|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
FCEV,VN-CKD-BRAKING,制动,Braking,870830|681381,MEDIUM,part.brake_system_or_friction_material|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
ICE_GASOLINE,VN-CKD-TYRE-WHEEL,轮胎/轮毂,Tyre or wheel,401110|870870,MEDIUM,part.tyre_or_wheel|part.size|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
ICE_DIESEL,VN-CKD-TYRE-WHEEL,轮胎/轮毂,Tyre or wheel,401110|870870,MEDIUM,part.tyre_or_wheel|part.size|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
HEV,VN-CKD-TYRE-WHEEL,轮胎/轮毂,Tyre or wheel,401110|870870,MEDIUM,part.tyre_or_wheel|part.size|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
PHEV,VN-CKD-TYRE-WHEEL,轮胎/轮毂,Tyre or wheel,401110|870870,MEDIUM,part.tyre_or_wheel|part.size|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
EREV,VN-CKD-TYRE-WHEEL,轮胎/轮毂,Tyre or wheel,401110|870870,MEDIUM,part.tyre_or_wheel|part.size|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
BEV,VN-CKD-TYRE-WHEEL,轮胎/轮毂,Tyre or wheel,401110|870870,MEDIUM,part.tyre_or_wheel|part.size|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
FCEV,VN-CKD-TYRE-WHEEL,轮胎/轮毂,Tyre or wheel,401110|870870,MEDIUM,part.tyre_or_wheel|part.size|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
ICE_GASOLINE,VN-CKD-THERMAL,热管理,Thermal management,841520|841330|841381,MEDIUM,part.hvac_pump_or_cooling_module|part.engine_mounted|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
ICE_DIESEL,VN-CKD-THERMAL,热管理,Thermal management,841520|841330|841381,MEDIUM,part.hvac_pump_or_cooling_module|part.engine_mounted|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
HEV,VN-CKD-THERMAL,热管理,Thermal management,841520|841330|841381,MEDIUM,part.hvac_pump_or_cooling_module|part.engine_mounted|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
PHEV,VN-CKD-THERMAL,热管理,Thermal management,841520|841330|841381,MEDIUM,part.hvac_pump_or_cooling_module|part.engine_mounted|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
EREV,VN-CKD-THERMAL,热管理,Thermal management,841520|841330|841381,MEDIUM,part.hvac_pump_or_cooling_module|part.engine_mounted|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
BEV,VN-CKD-THERMAL,热管理,Thermal management,841520|841330|841381,MEDIUM,part.hvac_pump_or_cooling_module|part.engine_mounted|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
FCEV,VN-CKD-THERMAL,热管理,Thermal management,841520|841330|841381,MEDIUM,part.hvac_pump_or_cooling_module|part.engine_mounted|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
ICE_GASOLINE,VN-CKD-WIRING-HARNESS,线束,Wiring harness,854430,MEDIUM_HIGH,part.vehicle_wiring_set|part.voltage_level|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
ICE_DIESEL,VN-CKD-WIRING-HARNESS,线束,Wiring harness,854430,MEDIUM_HIGH,part.vehicle_wiring_set|part.voltage_level|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
HEV,VN-CKD-WIRING-HARNESS,线束,Wiring harness,854430,MEDIUM_HIGH,part.vehicle_wiring_set|part.voltage_level|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
PHEV,VN-CKD-WIRING-HARNESS,线束,Wiring harness,854430,MEDIUM_HIGH,part.vehicle_wiring_set|part.voltage_level|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
EREV,VN-CKD-WIRING-HARNESS,线束,Wiring harness,854430,MEDIUM_HIGH,part.vehicle_wiring_set|part.voltage_level|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
BEV,VN-CKD-WIRING-HARNESS,线束,Wiring harness,854430,MEDIUM_HIGH,part.vehicle_wiring_set|part.voltage_level|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
FCEV,VN-CKD-WIRING-HARNESS,线束,Wiring harness,854430,MEDIUM_HIGH,part.vehicle_wiring_set|part.voltage_level|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
ICE_GASOLINE,VN-CKD-SEATS,座椅,Seats,940120,MEDIUM,part.motor_vehicle_seat|part.with_airbag_or_motor|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
ICE_DIESEL,VN-CKD-SEATS,座椅,Seats,940120,MEDIUM,part.motor_vehicle_seat|part.with_airbag_or_motor|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
HEV,VN-CKD-SEATS,座椅,Seats,940120,MEDIUM,part.motor_vehicle_seat|part.with_airbag_or_motor|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
PHEV,VN-CKD-SEATS,座椅,Seats,940120,MEDIUM,part.motor_vehicle_seat|part.with_airbag_or_motor|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
EREV,VN-CKD-SEATS,座椅,Seats,940120,MEDIUM,part.motor_vehicle_seat|part.with_airbag_or_motor|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
BEV,VN-CKD-SEATS,座椅,Seats,940120,MEDIUM,part.motor_vehicle_seat|part.with_airbag_or_motor|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
FCEV,VN-CKD-SEATS,座椅,Seats,940120,MEDIUM,part.motor_vehicle_seat|part.with_airbag_or_motor|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
ICE_GASOLINE,VN-CKD-GLASS,玻璃,Glass,700711|700721,LOW_MEDIUM,part.tempered_or_laminated|part.vehicle_use|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
ICE_DIESEL,VN-CKD-GLASS,玻璃,Glass,700711|700721,LOW_MEDIUM,part.tempered_or_laminated|part.vehicle_use|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
HEV,VN-CKD-GLASS,玻璃,Glass,700711|700721,LOW_MEDIUM,part.tempered_or_laminated|part.vehicle_use|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
PHEV,VN-CKD-GLASS,玻璃,Glass,700711|700721,LOW_MEDIUM,part.tempered_or_laminated|part.vehicle_use|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
EREV,VN-CKD-GLASS,玻璃,Glass,700711|700721,LOW_MEDIUM,part.tempered_or_laminated|part.vehicle_use|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
BEV,VN-CKD-GLASS,玻璃,Glass,700711|700721,LOW_MEDIUM,part.tempered_or_laminated|part.vehicle_use|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
FCEV,VN-CKD-GLASS,玻璃,Glass,700711|700721,LOW_MEDIUM,part.tempered_or_laminated|part.vehicle_use|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
ICE_GASOLINE,VN-CKD-LIGHTING,车灯,Vehicle lighting,851220,LOW_MEDIUM,part.lighting_or_visual_signalling|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
ICE_DIESEL,VN-CKD-LIGHTING,车灯,Vehicle lighting,851220,LOW_MEDIUM,part.lighting_or_visual_signalling|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
HEV,VN-CKD-LIGHTING,车灯,Vehicle lighting,851220,LOW_MEDIUM,part.lighting_or_visual_signalling|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
PHEV,VN-CKD-LIGHTING,车灯,Vehicle lighting,851220,LOW_MEDIUM,part.lighting_or_visual_signalling|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
EREV,VN-CKD-LIGHTING,车灯,Vehicle lighting,851220,LOW_MEDIUM,part.lighting_or_visual_signalling|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
BEV,VN-CKD-LIGHTING,车灯,Vehicle lighting,851220,LOW_MEDIUM,part.lighting_or_visual_signalling|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
FCEV,VN-CKD-LIGHTING,车灯,Vehicle lighting,851220,LOW_MEDIUM,part.lighting_or_visual_signalling|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
ICE_GASOLINE,VN-CKD-INSTRUMENT-DISPLAY,仪表/显示屏,Instrument or display,902920|853120,LOW_MEDIUM,part.speedometer_display_or_panel|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
ICE_DIESEL,VN-CKD-INSTRUMENT-DISPLAY,仪表/显示屏,Instrument or display,902920|853120,LOW_MEDIUM,part.speedometer_display_or_panel|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
HEV,VN-CKD-INSTRUMENT-DISPLAY,仪表/显示屏,Instrument or display,902920|853120,LOW_MEDIUM,part.speedometer_display_or_panel|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
PHEV,VN-CKD-INSTRUMENT-DISPLAY,仪表/显示屏,Instrument or display,902920|853120,LOW_MEDIUM,part.speedometer_display_or_panel|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
EREV,VN-CKD-INSTRUMENT-DISPLAY,仪表/显示屏,Instrument or display,902920|853120,LOW_MEDIUM,part.speedometer_display_or_panel|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
BEV,VN-CKD-INSTRUMENT-DISPLAY,仪表/显示屏,Instrument or display,902920|853120,LOW_MEDIUM,part.speedometer_display_or_panel|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
FCEV,VN-CKD-INSTRUMENT-DISPLAY,仪表/显示屏,Instrument or display,902920|853120,LOW_MEDIUM,part.speedometer_display_or_panel|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
ICE_GASOLINE,VN-CKD-SAFETY,安全气囊/安全带,Airbag or safety belt,870895|870821,LOW_MEDIUM,part.airbag_or_safety_belt|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
ICE_DIESEL,VN-CKD-SAFETY,安全气囊/安全带,Airbag or safety belt,870895|870821,LOW_MEDIUM,part.airbag_or_safety_belt|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
HEV,VN-CKD-SAFETY,安全气囊/安全带,Airbag or safety belt,870895|870821,LOW_MEDIUM,part.airbag_or_safety_belt|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
PHEV,VN-CKD-SAFETY,安全气囊/安全带,Airbag or safety belt,870895|870821,LOW_MEDIUM,part.airbag_or_safety_belt|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
EREV,VN-CKD-SAFETY,安全气囊/安全带,Airbag or safety belt,870895|870821,LOW_MEDIUM,part.airbag_or_safety_belt|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
BEV,VN-CKD-SAFETY,安全气囊/安全带,Airbag or safety belt,870895|870821,LOW_MEDIUM,part.airbag_or_safety_belt|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
FCEV,VN-CKD-SAFETY,安全气囊/安全带,Airbag or safety belt,870895|870821,LOW_MEDIUM,part.airbag_or_safety_belt|origin.country_iso2,FCEV excludes fuel-cell stack and hydrogen tanks until those component classes are added.
